Code;Municipality;Species;Trophic guild;Group;THg;NT;d15N;CT;d13C
BD169;San Antonio de Getuchá;Fish_stomach_content;NA;Allochthonous insects;NA;24.225.489;6.698;329.954.572;-25.223
BD170;San Antonio de Getuchá;Fish_stomach_content;NA;Allochthonous insects;NA;11.402.834;1.308;306.772.435;-24.489
BD84;Mecaya;Fish_stomach_content;NA;Allochthonous insects;NA;0.86787;8.474;501.319.324;-24.392
BD99;Mecaya;Fish_stomach_content;NA;Allochthonous insects;NA;2.413.004;11.055;478.886.545;-23.592
BD176;Mecaya;Fish_stomach_content;NA;Allochthonous insects;NA;4.061.871;2.271;297.105.906;-26.717
BD95;Mecaya;Fish_stomach_content;NA;Allochthonous insects;NA;16.167.849;7.009;456.512.032;-23.665
BD181;Mecaya;Fish_stomach_content;NA;Allochthonous insects;NA;51.374.373;4.245;534.870.909;-22.245
BD184;Mecaya;Fish_stomach_content;NA;Allochthonous insects;NA;13.987.021;5.205;304.765.106;-24.074
BD185;Mecaya;Fish_stomach_content;NA;Allochthonous insects;NA;23.091.948;2.847;326.378.691;-20.455
BD194;Mecaya;Fish_stomach_content;NA;Allochthonous insects;NA;36.900.039;4.517;333.740.011;-21.417
BD91;Mecaya;Fish_stomach_content;NA;Allochthonous insects;NA;108.698.888;5.198;421.557.363;-28.114
BD92;Mecaya;Fish_stomach_content;NA;Allochthonous insects;NA;38.639.822;5.274;398.817.651;-24.654
BD93;Mecaya;Fish_stomach_content;NA;Allochthonous insects;NA;84.327.592;2.404;460.143.429;-27.268
BD94;Mecaya;Fish_stomach_content;NA;Allochthonous insects;NA;52.316.111;4.811;325.674.773;-27.9
BD96;Mecaya;Fish_stomach_content;NA;Allochthonous insects;NA;85.668.186;6.389;47.740.917;-26.108
BD77;Mecaya;Fish_stomach_content;NA;Allochthonous insects;NA;22.791.241;5.32;418.952.943;-24.138
BD37;Mecaya;Fish_stomach_content;NA;Allochthonous insects;NA;20.473.373;1.987;324.431.919;-24.786
Mf01-ISO;Mecaya;Brazuelo vegetado (Pasto aleman);NA;Macrophytes;NA;16.043.175;2.712;216.187.762;-13.404
Mf02- ISO;Mecaya;Entrada a Pe?as Blancas;NA;Macrophytes;NA;22.705.446;3.39;253.259.416;-12.377
