Code,Municipality,Species,Trophic_guild,Group,THg,NT,d15N,CT,d13C,Entity_key
BD11,Mecaya,Fish_stomach_content,NA,Aquatic macroinvertebrates,NA,32.297.319,5.658,217.668.804,-24.506,Aquatic macroinvertebrates
BD12,Mecaya,Fish_stomach_content,NA,Aquatic macroinvertebrates,NA,73.242.951,7.672,13.069.966,-20.755,Aquatic macroinvertebrates
BD222,San Antonio de Getucha,Fish_stomach_content,NA,Aquatic macroinvertebrates,NA,40.748.823,7.765,284.336.171,-25.333,Aquatic macroinvertebrates
BD98,Mecaya,Fish_stomach_content,NA,Aquatic macroinvertebrates,NA,45.175.711,8.081,314.312.616,-23.583,Aquatic macroinvertebrates
BD6,Mecaya,Fish_stomach_content,NA,Aquatic macroinvertebrates,NA,12.798.112,5.768,207.305.732,-24.042,Aquatic macroinvertebrates
BD35,Mecaya,Fish_stomach_content,NA,Aquatic macroinvertebrates,NA,0.9201917,3.543,380.537.518,-27.825,Aquatic macroinvertebrates
Macr01-ISO (1),Mecaya,Depredadores,NA,Aquatic macroinvertebrates,NA,74.396.553,3.611,422.513.848,-32.648,Aquatic macroinvertebrates
"Macr01-ISO (2,3,4,6,9)",Mecaya,Detrit?voros,NA,Aquatic macroinvertebrates,NA,121.677.145,5.264,411.598.974,-33.221,Aquatic macroinvertebrates
Macr02-ISO,Mecaya,Depredadores,NA,Aquatic macroinvertebrates,NA,114.197.079,2.561,436.604.788,-31.131,Aquatic macroinvertebrates
"Macr03-ISO (1,4,2)",Mecaya,Detrit?voros,NA,Aquatic macroinvertebrates,NA,111.594.625,4.924,4.199.325,-35.544,Aquatic macroinvertebrates
Macr03-ISO (6),Curillo,Depredadores,NA,Aquatic macroinvertebrates,NA,11.392.771,5.826,433.245.164,-38.882,Aquatic macroinvertebrates
Macr05-ISO - Macr020-Hg,Curillo,Depredadores,NA,Aquatic macroinvertebrates,NA,69.981.436,5.938,316.237.739,-30.352,Aquatic macroinvertebrates
Macr07-ISO,Curillo,Depredadores,NA,Aquatic macroinvertebrates,NA,109.947.746,5.533,421.864.898,-37.074,Aquatic macroinvertebrates
"Macr12-ISO (1,7,19)",Curillo,Fitoplanct?fago-Detrit?voros,NA,Aquatic macroinvertebrates,NA,101.704.642,4.983,383.650.808,-34.618,Aquatic macroinvertebrates
